tender_country,tender_year,tender_mainCpv,tender_estimatedPrice_EUR,lot_bidsCount,tender_procedureType,tender_supplyType,buyer_buyerType,buyer_country,tender_indicator_score_INTEGRITY,tender_indicator_score_ADMINISTRATIVE,tender_indicator_score_TRANSPARENCY
IT,2018,72267100,1500000000.0,132.0,RESTRICTED,SUPPLIES,REGIONAL_AUTHORITY,IT,78.5496,79.1667,50.0
BG,2018,71322000,2044630.0,1.0,OPEN,SERVICES,REGIONAL_AUTHORITY,BG,66.6667,31.8182,74.3038
BG,2015,79713000,10225994.0,3.0,NEGOTIATED_WITH_PUBLICATION,SERVICES,UTILITIES,BG,75.0,29.4118,72.8571
PL,2016,33140000,306049.0,1.0,OPEN,SUPPLIES,PUBLIC_BODY,PL,87.3004,15.5102,79.5514
RO,2022,33652000,5542946.0,4.0,OPEN,SUPPLIES,PUBLIC_BODY,ROMANIA,90.2209,37.3333,42.1769
RO,2020,33651100,34779478.0,24.0,OPEN,SUPPLIES,NATIONAL_AUTHORITY,RO,100.0,28.0843,50.0
IT,2018,72267100,1500000000.0,132.0,RESTRICTED,SUPPLIES,OTHER,IT,78.5496,79.1667,50.0
IT,2018,72267100,1500000000.0,132.0,RESTRICTED,SUPPLIES,NATIONAL_AUTHORITY,IT,78.5496,79.1667,50.0
IT,2018,66510000,13808896.0,3.0,OPEN,SERVICES,UTILITIES,IT,70.704,49.2064,81.25
SI,2015,15800000,180000.0,1.0,OPEN,SUPPLIES,PUBLIC_BODY,SI,69.3069,37.7778,77.0919
IT,2018,72267100,1500000000.0,132.0,RESTRICTED,SUPPLIES,NATIONAL_AUTHORITY,IT,78.5496,79.1667,50.0
BG,2019,30197644,1278345.0,3.0,OPEN,SUPPLIES,NATIONAL_AUTHORITY,BG,100.0,47.2222,77.037
IT,2018,72267100,1500000000.0,132.0,RESTRICTED,SUPPLIES,NATIONAL_AUTHORITY,IT,78.5496,79.1667,50.0
SI,2016,15000000,1410000.0,3.0,OPEN,SUPPLIES,PUBLIC_BODY,SI,76.0,38.2609,78.5256
BG,2016,09100000,39702424.0,2.0,OPEN,SUPPLIES,NATIONAL_AUTHORITY,BG,82.2092,43.3333,77.6423
RO,2022,33651100,2428960.0,14.0,OPEN,SUPPLIES,PUBLIC_BODY,RO,80.0,32.5203,50.0
